ID;Nome Completo;Gênero;Data de Nascimento;Idade;Estado Civil;Cargo;Departamento;Data de Admissão;Salário (R$);Tipo de Contrato;Escolaridade;Status;Cidade;Estado;Home Office;Avaliação de Desempenho (0-10);Faltas no Ano;Treinamentos Concluídos
19;Dr. Lucca Barros;Feminino;2000-10-15;24;Viúvo(a);Analista Financeiro;Tecnologia da Informação;2016-08-07;4729.3;CLT;Superior Incompleto;Desligado;Monteiro;SP;Não;2.7;14;9
20;Ana Carolina Duarte;Feminino;1994-03-02;31;Viúvo(a);Gerente de Projetos;Tecnologia da Informação;2008-05-21;8483.54;CLT;Ensino Médio;Desligado;Melo do Amparo;SP;Sim;5.8;16;5
21;Sr. Noah Souza;Masculino;1982-08-27;42;Solteiro(a);Gerente de Projetos;Recursos Humanos;2016-07-17;9975.18;PJ;Pós-graduação;Ativo;das Neves;GO;Sim;5.8;1;2
22;Caroline Rodrigues;Feminino;1990-12-16;34;Divorciado(a);Coordenador de Marketing;Tecnologia da Informação;2015-12-03;6844.04;Temporário;Superior Incompleto;Desligado;Pereira;PE;Sim;6.7;9;14
23;Ana Beatriz Castro;Feminino;1975-05-15;50;Solteiro(a);Analista de RH;Financeiro;2022-01-19;3431.74;CLT;Ensino Médio;Ativo;Barros;DF;Não;1.3;11;2
24;Dra. Sofia Carvalho;Masculino;1965-01-02;60;Divorciado(a);Coordenador de Marketing;Tecnologia da Informação;2013-07-30;6033.65;Temporário;Ensino Médio;Desligado;Costela de Vieira;RJ;Sim;2.6;3;4
25;Ian Nogueira;Feminino;1989-07-08;35;Divorciado(a);Designer Gráfico;Tecnologia da Informação;2016-01-12;4019.94;PJ;Superior Completo;Desligado;da Luz de Rodrigues;PR;Sim;0.9;13;8
26;Ana Clara Rocha;Masculino;1986-08-27;38;Solteiro(a);Auxiliar de Logística;Tecnologia da Informação;2007-09-23;1945.98;Temporário;Superior Incompleto;Desligado;Ribeiro Verde;DF;Não;5.6;3;2
27;Srta. Lívia Cardoso;Outro;1985-01-18;40;Casado(a);Estagiário de TI;Recursos Humanos;2009-11-18;1700.76;PJ;Pós-graduação;Ativo;Barbosa;SP;Não;3.6;1;11
28;Bruno Fernandes;Masculino;1997-12-30;27;Casado(a);Desenvolvedor;Marketing;2002-01-29;6340.35;Estágio;Superior Incompleto;Ativo;da Mota do Oeste;MG;Sim;8.8;0;5
29;Gabrielly Melo;Outro;2002-07-06;22;Divorciado(a);Contador;Administrativo;2001-05-01;5660.16;PJ;Superior Completo;Ativo;Correia;RJ;Não;8.7;15;7
30;Dra. Marina Cardoso;Masculino;1985-08-15;39;Viúvo(a);Auxiliar de Logística;Marketing;2007-10-29;2074.38;PJ;Superior Incompleto;Ativo;Ferreira do Galho;RS;Não;3.3;2;8
31;Emilly Alves;Feminino;1992-06-05;32;Viúvo(a);Estagiário de TI;Marketing;2002-04-01;1763.54;CLT;Superior Completo;Ativo;Rezende;GO;Não;0.4;19;13
32;Marcos Vinicius Ribeiro;Feminino;1982-09-05;42;Divorciado(a);Contador;Logística;2011-10-02;5960.59;CLT;Pós-graduação;Ativo;Ribeiro de Almeida;PR;Sim;7.1;0;6
33;Kaique da Conceição;Feminino;1988-10-22;36;Viúvo(a);Desenvolvedor;Administrativo;2008-06-25;6762.31;Temporário;Ensino Médio;Desligado;Rocha;DF;Não;6.7;10;12
34;Luiz Felipe da Paz;Outro;1984-03-30;41;Divorciado(a);Estagiário de TI;Tecnologia da Informação;2006-08-10;1315.1;Estágio;Superior Incompleto;Desligado;Castro Paulista;PE;Sim;3.0;6;13
35;Igor Carvalho;Outro;1982-06-24;42;Divorciado(a);Analista Financeiro;Financeiro;2013-07-16;3884.32;PJ;Pós-graduação;Ativo;Moreira;RJ;Não;5.2;20;10
36;Arthur Santos;Masculino;1984-02-21;41;Casado(a);Coordenador de Marketing;Tecnologia da Informação;2000-10-25;7322.97;PJ;Ensino Médio;Ativo;Gomes do Galho;RS;Não;6.1;2;14
37;Felipe Cunha;Feminino;1969-05-06;56;Casado(a);Contador;Financeiro;2013-03-04;4499.13;PJ;Ensino Médio;Ativo;da Rosa;PE;Sim;1.8;16;14
38;Srta. Maria Eduarda Cardoso;Masculino;1977-03-25;48;Casado(a);Desenvolvedor;Financeiro;2023-02-27;4400.02;Estágio;Superior Completo;Desligado;Pinto de Melo;GO;Não;8.3;17;14
39;Stella Monteiro;Masculino;1974-05-08;51;Viúvo(a);Analista Financeiro;Marketing;2022-07-18;4503.55;Temporário;Pós-graduação;Ativo;Porto da Prata;PR;Não;0.8;9;7
40;Isis Duarte;Feminino;1995-07-16;29;Divorciado(a);Auxiliar de Logística;Logística;2016-06-13;1556.4;PJ;Superior Incompleto;Desligado;Santos das Flores;MG;Sim;0.6;13;10
41;Sra. Raquel Nunes;Outro;1995-10-24;29;Viúvo(a);Contador;Recursos Humanos;2005-04-24;4017.09;Estágio;Pós-graduação;Ativo;Peixoto da Mata;GO;Não;4.8;11;9
42;Caio Duarte;Feminino;1994-08-12;30;Viúvo(a);Estagiário de TI;Administrativo;2022-08-29;1640.78;PJ;Pós-graduação;Ativo;Nascimento;PR;Não;4.9;12;10
43;Sr. Luiz Miguel da Rosa;Outro;1976-01-15;49;Viúvo(a);Gerente de Projetos;Financeiro;2020-07-08;11597.71;CLT;Pós-graduação;Ativo;Moraes;RJ;Não;1.4;14;5
44;Lara Fernandes;Masculino;1992-09-28;32;Divorciado(a);Contador;Marketing;2008-02-12;4029.15;Temporário;Superior Completo;Desligado;da Rosa do Sul;PR;Não;2.5;2;15
45;Dra. Ana Júlia Mendes;Masculino;2003-03-24;22;Solteiro(a);Auxiliar de Logística;Tecnologia da Informação;2007-03-01;1955.1;CLT;Ensino Médio;Ativo;Fogaça de Goiás;RS;Sim;6.2;7;4
46;Levi Monteiro;Feminino;1985-06-10;39;Solteiro(a);Designer Gráfico;Tecnologia da Informação;2025-03-05;3590.56;Temporário;Superior Completo;Ativo;Lopes das Flores;GO;Sim;7.8;5;9
47;Sra. Laís Costa;Masculino;1984-11-18;40;Solteiro(a);Coordenador de Marketing;Logística;2007-01-02;6870.72;Estágio;Pós-graduação;Ativo;da Paz;RJ;Sim;1.0;9;3
48;Benício Nunes;Outro;1989-11-19;35;Solteiro(a);Auxiliar de Logística;Logística;2021-03-16;1799.86;Temporário;Ensino Médio;Desligado;Almeida;SP;Não;8.2;3;13
49;Isabella Gonçalves;Feminino;1987-05-06;38;Viúvo(a);Gerente de Projetos;Financeiro;2015-01-07;7880.68;Temporário;Pós-graduação;Desligado;Nascimento dos Dourados;PE;Não;3.2;7;2
50;Clara Rodrigues;Feminino;1988-02-14;37;Viúvo(a);Assistente Administrativo;Financeiro;2017-02-04;2198.89;Estágio;Superior Completo;Ativo;Farias;CE;Não;1.8;6;11
51;Melissa Santos;Feminino;1997-10-16;27;Divorciado(a);Coordenador de Marketing;Logística;2012-08-19;6954.14;Temporário;Ensino Médio;Ativo;Duarte;RJ;Sim;7.2;15;7
52;Valentina Dias;Outro;1980-02-13;45;Viúvo(a);Analista Financeiro;Financeiro;2011-04-17;4585.87;CLT;Superior Completo;Ativo;Ramos;PE;Sim;3.1;18;11
53;Melissa Barbosa;Feminino;1974-11-27;50;Divorciado(a);Contador;Administrativo;2017-02-19;4875.97;Temporário;Pós-graduação;Desligado;Sales;PR;Não;2.3;6;10
54;Marcelo Barbosa;Masculino;1980-08-25;44;Casado(a);Assistente Administrativo;Tecnologia da Informação;2017-06-23;2317.02;Temporário;Superior Completo;Ativo;Silva;RS;Não;2.3;5;9
55;Arthur Novaes;Masculino;2002-10-30;22;Casado(a);Coordenador de Marketing;Recursos Humanos;2010-01-22;7910.03;Temporário;Superior Incompleto;Desligado;da Rosa;RJ;Sim;5.7;15;15
56;Dr. Benício da Paz;Feminino;1974-01-06;51;Divorciado(a);Gerente de Projetos;Recursos Humanos;2015-05-02;8262.39;Estágio;Ensino Médio;Ativo;da Mota;PE;Não;0.7;20;1
57;Emilly Duarte;Masculino;1985-02-05;40;Casado(a);Designer Gráfico;Marketing;2022-03-23;2944.81;PJ;Ensino Médio;Desligado;Moraes de Porto;GO;Sim;7.8;12;14
58;Ryan Pinto;Feminino;1993-02-01;32;Divorciado(a);Designer Gráfico;Financeiro;2006-10-11;3319.15;CLT;Ensino Médio;Ativo;Almeida do Oeste;RS;Não;6.6;5;7
59;Ana da Rocha;Masculino;1992-01-18;33;Solteiro(a);Gerente de Projetos;Recursos Humanos;2012-05-26;9042.59;Estágio;Superior Completo;Ativo;Lopes;RS;Não;7.1;14;2
60;Dr. Otávio Santos;Outro;1993-01-25;32;Casado(a);Coordenador de Marketing;Administrativo;2006-03-25;6564.26;PJ;Pós-graduação;Ativo;Barbosa de da Mota;DF;Sim;6.5;8;4
61;Cecília Martins;Masculino;1972-02-16;53;Solteiro(a);Gerente de Projetos;Marketing;2005-03-07;9975.22;Temporário;Pós-graduação;Ativo;Alves;CE;Não;7.0;8;15
62;Isabel Monteiro;Feminino;1972-11-27;52;Solteiro(a);Designer Gráfico;Recursos Humanos;2019-05-29;4312.02;Temporário;Superior Completo;Ativo;Cavalcanti do Galho;RJ;Sim;9.6;18;0
63;Samuel da Rocha;Outro;2001-06-09;23;Divorciado(a);Designer Gráfico;Recursos Humanos;2007-01-04;4097.29;PJ;Pós-graduação;Desligado;da Cruz de Azevedo;PR;Sim;10.0;13;15
64;Davi Lucca da Rocha;Masculino;1993-01-08;32;Viúvo(a);Auxiliar de Logística;Financeiro;2020-10-09;1733.32;CLT;Superior Incompleto;Desligado;Caldeira do Campo;PE;Não;2.9;12;1
65;Kaique Nunes;Feminino;1965-01-23;60;Solteiro(a);Auxiliar de Logística;Marketing;2017-05-01;1726.29;Estágio;Ensino Médio;Desligado;Ferreira;PE;Sim;1.9;11;15
66;Olivia Barbosa;Outro;2004-02-11;21;Viúvo(a);Analista de RH;Tecnologia da Informação;2013-01-04;2900.58;PJ;Superior Completo;Desligado;da Rosa de Minas;CE;Sim;0.3;20;7
67;Esther Oliveira;Outro;1998-03-05;27;Casado(a);Coordenador de Marketing;Logística;2016-04-21;4547.86;Estágio;Ensino Médio;Ativo;Costela Alegre;RJ;Não;9.5;20;4
68;Carlos Eduardo Monteiro;Feminino;1983-07-15;41;Divorciado(a);Estagiário de TI;Administrativo;2005-10-19;1364.05;Estágio;Pós-graduação;Ativo;da Mota;CE;Sim;3.8;19;4
69;Helena Vieira;Masculino;1966-11-15;58;Divorciado(a);Contador;Marketing;2010-07-25;5835.62;Temporário;Ensino Médio;Desligado;Jesus;PR;Não;8.7;14;15
70;João Lucas Fogaça;Feminino;1976-09-09;48;Divorciado(a);Estagiário de TI;Logística;2016-03-07;1426.33;Temporário;Superior Incompleto;Ativo;Fernandes de da Cruz;GO;Não;2.3;13;1
71;Leonardo Costela;Feminino;1970-08-29;54;Viúvo(a);Contador;Financeiro;2006-09-16;5971.04;PJ;Pós-graduação;Ativo;Lima de Goiás;MG;Não;8.7;14;3
72;Thales Farias;Outro;1998-05-22;26;Viúvo(a);Analista de RH;Administrativo;2000-09-17;2716.23;PJ;Ensino Médio;Desligado;da Conceição;PR;Não;6.2;12;2
73;Dr. João Lucas Ramos;Feminino;1989-02-15;36;Viúvo(a);Auxiliar de Logística;Administrativo;2024-04-14;2003.1;Estágio;Ensino Médio;Ativo;Costela;RS;Não;10.0;2;13
74;Milena Souza;Masculino;1988-10-23;36;Solteiro(a);Analista Financeiro;Tecnologia da Informação;2002-02-01;4388.0;CLT;Ensino Médio;Desligado;Dias;SP;Não;3.6;13;4
75;Kamilly Nascimento;Masculino;1969-02-08;56;Viúvo(a);Designer Gráfico;Administrativo;2003-01-16;4147.28;PJ;Superior Incompleto;Ativo;Souza;GO;Não;6.2;7;15
76;Srta. Cecília da Cruz;Outro;1994-05-26;30;Casado(a);Assistente Administrativo;Financeiro;2019-07-22;2246.53;Estágio;Superior Completo;Ativo;da Rocha;CE;Não;6.8;5;2
77;Ana Clara das Neves;Feminino;1970-04-07;55;Divorciado(a);Designer Gráfico;Marketing;2012-03-20;3886.2;Estágio;Superior Completo;Desligado;Cardoso Grande;PR;Sim;10.0;15;3
78;Davi Lucas Pinto;Masculino;1967-08-18;57;Viúvo(a);Designer Gráfico;Marketing;2007-08-27;3777.18;Temporário;Ensino Médio;Desligado;Carvalho de das Neves;PR;Sim;5.7;1;15
79;Helena Freitas;Feminino;1999-11-26;25;Casado(a);Designer Gráfico;Marketing;2011-03-16;3172.31;PJ;Superior Completo;Ativo;Viana;RJ;Sim;3.1;14;1
80;Luiz Henrique Carvalho;Outro;1990-07-06;34;Divorciado(a);Gerente de Projetos;Recursos Humanos;2022-01-24;11548.14;Temporário;Pós-graduação;Ativo;Rezende Paulista;RS;Sim;7.9;11;8
81;Nicole Barros;Masculino;1995-11-28;29;Divorciado(a);Analista Financeiro;Marketing;2000-05-16;4493.12;Temporário;Ensino Médio;Desligado;Correia;RJ;Sim;7.5;7;12
82;Maysa da Rosa;Outro;1971-12-27;53;Divorciado(a);Desenvolvedor;Financeiro;2021-02-18;4041.76;CLT;Pós-graduação;Desligado;Rezende;PR;Não;8.2;11;3
83;Clarice Novaes;Outro;1980-02-02;45;Casado(a);Analista Financeiro;Recursos Humanos;2007-03-05;4239.09;Temporário;Superior Incompleto;Ativo;Ramos;CE;Não;6.5;3;4
84;Renan Almeida;Masculino;1968-10-22;56;Solteiro(a);Coordenador de Marketing;Financeiro;2016-10-25;4906.42;PJ;Superior Incompleto;Desligado;da Luz da Serra;CE;Não;6.7;17;13
85;Yago Araújo;Outro;1991-02-25;34;Casado(a);Contador;Administrativo;2023-04-18;3747.55;Estágio;Pós-graduação;Desligado;Jesus do Amparo;SP;Não;2.2;14;7
86;Mirella da Luz;Feminino;1984-09-17;40;Solteiro(a);Auxiliar de Logística;Logística;2007-03-15;2131.19;Temporário;Ensino Médio;Desligado;da Costa de Minas;PR;Sim;9.7;14;2
87;Stella Castro;Outro;1989-04-16;36;Casado(a);Designer Gráfico;Recursos Humanos;2009-02-24;2885.98;Temporário;Superior Incompleto;Ativo;Nogueira da Serra;GO;Sim;0.7;17;6
88;Evelyn da Luz;Outro;1982-04-13;43;Casado(a);Assistente Administrativo;Marketing;2001-09-24;2342.06;CLT;Superior Completo;Ativo;Correia de Costa;MG;Não;8.0;3;0
89;Ana Lívia Santos;Masculino;1970-03-07;55;Solteiro(a);Auxiliar de Logística;Tecnologia da Informação;2010-03-15;1912.2;CLT;Superior Incompleto;Desligado;da Mota de Minas;SP;Sim;7.4;16;3
90;Ana Carolina Silveira;Outro;1996-12-20;28;Solteiro(a);Analista Financeiro;Financeiro;2011-12-31;4556.03;CLT;Pós-graduação;Ativo;Lopes;GO;Sim;7.3;16;9
91;Raquel Cardoso;Feminino;1985-05-06;40;Solteiro(a);Analista de RH;Financeiro;2017-09-14;3770.95;Estágio;Ensino Médio;Desligado;da Mota;CE;Sim;9.0;10;4
92;Ana Júlia Correia;Masculino;1998-04-18;27;Casado(a);Coordenador de Marketing;Logística;2023-03-10;6715.77;Temporário;Pós-graduação;Desligado;Nogueira de Peixoto;CE;Não;1.0;3;6
93;Vitor Hugo das Neves;Feminino;1968-02-02;57;Viúvo(a);Assistente Administrativo;Financeiro;2014-10-25;2037.25;Estágio;Pós-graduação;Desligado;Oliveira do Sul;RJ;Não;4.3;8;11
94;Sabrina Ferreira;Masculino;1985-04-07;40;Viúvo(a);Desenvolvedor;Recursos Humanos;2010-05-30;6495.32;CLT;Pós-graduação;Ativo;Farias;BA;Sim;5.6;18;10
95;Agatha Cardoso;Outro;1991-07-05;33;Solteiro(a);Contador;Marketing;2021-11-19;5684.02;Estágio;Ensino Médio;Desligado;Gomes;GO;Não;3.5;18;6
96;Daniel da Costa;Masculino;1976-07-02;48;Viúvo(a);Assistente Administrativo;Recursos Humanos;2004-10-19;2045.08;Temporário;Ensino Médio;Desligado;Mendes da Praia;GO;Sim;8.1;17;0
97;Rebeca Moraes;Outro;1974-08-13;50;Divorciado(a);Analista de RH;Tecnologia da Informação;2020-01-07;2909.91;Temporário;Superior Completo;Desligado;da Luz;SP;Sim;8.7;18;12
98;Calebe Jesus;Masculino;2004-05-09;21;Casado(a);Analista de RH;Recursos Humanos;2000-05-16;3619.17;PJ;Pós-graduação;Desligado;Carvalho de Vieira;CE;Não;1.6;9;10
99;Joaquim da Rosa;Outro;2000-05-16;25;Solteiro(a);Analista de RH;Tecnologia da Informação;2014-06-29;2736.11;CLT;Ensino Médio;Desligado;Rezende da Serra;CE;Não;4.9;14;13
100;Maria Alice Silva;Feminino;1990-01-10;35;Casado(a);Estagiário de TI;Recursos Humanos;2011-09-23;1407.1;CLT;Superior Completo;Desligado;Moraes;DF;Não;0.5;12;1
101;Srta. Bianca das Neves;Masculino;1990-08-13;34;Casado(a);Coordenador de Marketing;Tecnologia da Informação;2019-04-16;7185.72;Temporário;Superior Completo;Desligado;Rodrigues;RJ;Sim;5.0;13;5
102;Isabella da Rocha;Masculino;1979-05-26;45;Viúvo(a);Estagiário de TI;Administrativo;2007-08-17;1338.07;Temporário;Ensino Médio;Desligado;Porto de Pinto;SP;Não;0.2;2;10
103;Sra. Heloísa Nogueira;Outro;1991-10-24;33;Viúvo(a);Designer Gráfico;Financeiro;2019-06-04;4006.15;Estágio;Superior Completo;Ativo;Castro;PE;Sim;9.7;5;14
104;Emanuelly Moura;Outro;1998-08-12;26;Divorciado(a);Desenvolvedor;Financeiro;2008-06-23;6533.45;PJ;Pós-graduação;Desligado;Fogaça;DF;Sim;4.0;9;10
105;Mariane Lopes;Masculino;1977-05-07;48;Divorciado(a);Gerente de Projetos;Recursos Humanos;2015-08-29;9552.42;CLT;Superior Incompleto;Desligado;Peixoto de da Mata;BA;Sim;2.4;4;8
106;Luiz Gustavo Mendes;Masculino;1984-08-20;40;Casado(a);Designer Gráfico;Tecnologia da Informação;2012-03-27;4092.37;CLT;Superior Incompleto;Desligado;da Cruz;CE;Não;6.8;18;10
107;Dra. Nicole Teixeira;Outro;1966-01-03;59;Divorciado(a);Gerente de Projetos;Financeiro;2019-10-31;7341.43;Estágio;Superior Completo;Desligado;das Neves da Prata;GO;Sim;3.5;2;9
108;Maria Eduarda Rocha;Feminino;1977-04-04;48;Viúvo(a);Analista de RH;Recursos Humanos;2013-08-15;3053.11;Temporário;Ensino Médio;Ativo;Caldeira;GO;Não;4.6;17;1
109;Fernanda da Paz;Feminino;2001-10-04;23;Casado(a);Auxiliar de Logística;Logística;2012-08-02;1832.94;PJ;Ensino Médio;Desligado;Oliveira do Amparo;RJ;Não;9.8;2;5
110;Alexia Correia;Masculino;1977-01-29;48;Casado(a);Analista Financeiro;Financeiro;2011-07-04;4048.14;PJ;Superior Completo;Desligado;Caldeira do Sul;PR;Não;4.1;10;1
111;Kamilly Teixeira;Outro;1980-07-29;44;Divorciado(a);Desenvolvedor;Marketing;2008-10-03;4283.52;Estágio;Superior Completo;Desligado;Rezende;GO;Sim;3.3;18;4
112;Stephany Barbosa;Feminino;1994-10-31;30;Divorciado(a);Contador;Tecnologia da Informação;2008-05-16;4987.6;CLT;Superior Completo;Desligado;Almeida;BA;Sim;6.7;16;2
113;Bernardo Silveira;Outro;1965-02-26;60;Viúvo(a);Estagiário de TI;Marketing;2006-09-03;1210.94;Temporário;Superior Incompleto;Ativo;Ferreira de da Mata;BA;Não;1.9;4;4
114;Maitê Vieira;Masculino;1998-10-22;26;Divorciado(a);Desenvolvedor;Logística;2012-07-31;6312.62;CLT;Superior Completo;Ativo;Pinto das Flores;GO;Não;1.5;5;5
115;Catarina Cavalcanti;Outro;1975-03-01;50;Viúvo(a);Analista de RH;Financeiro;2001-11-27;3046.45;PJ;Pós-graduação;Desligado;Cavalcanti Alegre;CE;Sim;5.3;9;15
116;Pedro Henrique Ferreira;Masculino;1968-05-28;56;Divorciado(a);Designer Gráfico;Financeiro;2008-04-04;3584.86;Temporário;Pós-graduação;Desligado;Costela;MG;Sim;8.0;4;8
117;Maitê Costa;Masculino;1990-04-11;35;Viúvo(a);Auxiliar de Logística;Logística;2000-06-12;2154.01;CLT;Superior Completo;Ativo;Oliveira;MG;Não;4.5;16;4
118;João Barros;Feminino;1970-02-16;55;Solteiro(a);Assistente Administrativo;Financeiro;2024-02-13;2419.24;CLT;Pós-graduação;Ativo;Rocha do Sul;PE;Não;2.4;2;11
119;Pedro Miguel Cardoso;Masculino;1979-12-20;45;Solteiro(a);Auxiliar de Logística;Recursos Humanos;2015-08-07;2087.42;Temporário;Superior Incompleto;Ativo;da Rocha de Rodrigues;SP;Não;9.2;15;4
120;Juan Monteiro;Outro;1997-05-28;27;Viúvo(a);Analista Financeiro;Logística;2014-03-15;3010.5;CLT;Ensino Médio;Desligado;Rezende das Pedras;RS;Sim;5.5;19;13
121;Srta. Sabrina Cardoso;Masculino;1982-11-15;42;Divorciado(a);Assistente Administrativo;Marketing;2014-10-04;1885.29;PJ;Pós-graduação;Desligado;Ramos da Serra;RJ;Sim;8.4;15;0
122;Ana Laura Vieira;Outro;1998-12-08;26;Casado(a);Gerente de Projetos;Marketing;2013-08-09;9146.19;Temporário;Superior Incompleto;Desligado;Alves;MG;Sim;5.2;11;2
123;Maria Cardoso;Outro;1993-08-13;31;Solteiro(a);Contador;Financeiro;2002-02-04;3608.84;Estágio;Superior Completo;Desligado;Martins dos Dourados;SP;Não;7.9;11;7
124;Lucca Fernandes;Outro;2003-12-04;21;Solteiro(a);Designer Gráfico;Administrativo;2014-06-18;4086.35;PJ;Ensino Médio;Desligado;Barros;DF;Não;8.1;5;14
125;Maria Eduarda Silva;Outro;1988-03-31;37;Viúvo(a);Gerente de Projetos;Tecnologia da Informação;2016-09-03;7315.5;Estágio;Ensino Médio;Desligado;Ramos;RS;Sim;7.9;1;10
126;Brenda Araújo;Feminino;1967-07-29;57;Viúvo(a);Estagiário de TI;Financeiro;2020-08-23;1351.99;PJ;Superior Completo;Desligado;da Mota;SP;Não;2.7;11;13
127;Manuela Oliveira;Feminino;1993-06-22;31;Viúvo(a);Contador;Marketing;2000-06-09;5934.31;Estágio;Pós-graduação;Desligado;Costela;DF;Não;8.0;13;2
128;Ana Beatriz Mendes;Feminino;1966-10-22;58;Casado(a);Estagiário de TI;Marketing;2007-02-27;1392.73;CLT;Superior Completo;Desligado;Pinto;PR;Não;6.0;13;5
129;Sr. Paulo Porto;Outro;1999-02-18;26;Viúvo(a);Auxiliar de Logística;Financeiro;2017-09-19;1529.65;Temporário;Pós-graduação;Desligado;Monteiro de Duarte;SP;Sim;6.7;12;11
130;Vinicius Vieira;Outro;1989-11-08;35;Casado(a);Analista de RH;Tecnologia da Informação;2013-10-20;3773.0;Estágio;Ensino Médio;Ativo;Moreira;RJ;Sim;7.8;11;11
131;Dra. Maria Sophia Duarte;Feminino;1984-06-19;40;Solteiro(a);Designer Gráfico;Tecnologia da Informação;2000-11-26;3954.41;Temporário;Superior Completo;Desligado;Novaes;RJ;Sim;5.3;12;10
132;Sr. João Gabriel Correia;Outro;1983-11-20;41;Divorciado(a);Assistente Administrativo;Recursos Humanos;2010-10-08;1818.14;PJ;Pós-graduação;Desligado;Farias;DF;Sim;2.6;8;14
133;Sophia Pinto;Masculino;2000-09-30;24;Divorciado(a);Analista Financeiro;Tecnologia da Informação;2006-06-13;3245.27;CLT;Pós-graduação;Ativo;Novaes de Campos;CE;Sim;8.1;10;11
134;Luana Martins;Outro;1974-05-19;51;Solteiro(a);Estagiário de TI;Logística;2005-10-15;1374.22;Temporário;Superior Incompleto;Ativo;Ramos dos Dourados;BA;Sim;1.2;6;4
135;Srta. Fernanda Alves;Masculino;2005-01-16;20;Viúvo(a);Analista de RH;Marketing;2022-06-12;3331.03;Temporário;Pós-graduação;Ativo;Nogueira de Ramos;GO;Sim;0.7;12;15
